,Date,Open,High,Low,Close,Volume,Trading Value,index,Close_9020,Date_9020,diff_9020,Close_9021,Date_9021,diff_9021,Close_9048,Date_9048,diff_9048
10,2016/12/15,19220,19240,19035,19205,381000,7306570500,10,10065,2016/12/15,0.003990024937655878,7151,2016/12/15,0.006191079217672701,564,2016/12/15,-0.005291005291005346
11,2016/12/14,19150,19250,19060,19145,505000,9664934000,11,10025,2016/12/14,-0.0009965122072745913,7107,2016/12/14,-0.00252631578947371,567,2016/12/14,0.0
12,2016/12/13,18995,19035,18830,19035,479000,9080406500,12,10035,2016/12/13,0.004002001000500188,7125,2016/12/13,-0.0008413967185527671,567,2016/12/13,0.007104795737122638
13,2016/12/12,18745,18995,18660,18870,519100,9779877000,13,9995,2016/12/12,0.014720812182741128,7131,2016/12/12,0.028410729737525342,563,2016/12/12,0.019927536231884035
14,2016/12/9,18150,18555,18105,18515,770300,14116444000,14,9850,2016/12/9,0.01808785529715773,6934,2016/12/9,0.005656272661348716,552,2016/12/9,0.01845018450184499
15,2016/12/8,18175,18210,17915,18100,596400,10768880000,15,9675,2016/12/8,0.007497656982192957,6895,2016/12/8,0.017111668387667756,542,2016/12/8,0.009310986964618184
16,2016/12/7,18030,18075,17865,17990,437400,7856296500,16,9603,2016/12/7,0.005444456077897675,6779,2016/12/7,0.012395459976105139,537,2016/12/7,0.001865671641791078
17,2016/12/6,18105,18185,17885,17930,581800,10461812000,17,9551,2016/12/6,-0.006242846738112595,6696,2016/12/6,-0.006970191309506157,536,2016/12/6,-0.0018621973929237035
18,2016/12/5,18205,18280,17985,18100,388400,7025370000,18,9611,2016/12/5,-0.0007278020378457262,6743,2016/12/5,-0.010129183793305963,537,2016/12/5,-0.014678899082568808
19,2016/12/2,18470,18640,18200,18230,550900,10108628500,19,9618,2016/12/2,-0.011205921661355034,6812,2016/12/2,-0.014039658416558076,545,2016/12/2,-0.021543985637342944
20,2016/12/1,18800,18820,18480,18590,576700,10759639000,20,9727,2016/12/1,-0.00399344665164858,6909,2016/12/1,-0.006899525657611094,557,2016/12/1,-0.007130124777183555
